experiment,label,AP,AP5,AP75,AP_M,AP_L,AR,AR5,AR75,AR_M,AR_L
linf8,snow_0,0.5911253519829334,0.842036046479102,0.6520885161772967,0.543812531579691,0.6623798547580767,0.6284319899244333,0.8572103274559194,0.6824622166246851,0.5738322862605845,0.7065403195837978
linf8,snow_1,0.49492125663548914,0.7666936424950282,0.5266809595622399,0.4323211059660593,0.5880347533644708,0.5336744332493703,0.785264483627204,0.5665931989924433,0.4617590822179731,0.6340765514678559
linf8,snow_2,0.4851209280429852,0.7658268878381443,0.5134123090477131,0.43328416594876606,0.5590984157907684,0.5238822418136021,0.782588161209068,0.5554156171284634,0.4645998361103524,0.6069862504645114
linf8,snow_3,0.4013078733223365,0.6807115697371794,0.4087864009743125,0.3448223642417775,0.4818088244716921,0.44096347607052894,0.7000944584382871,0.45591939546599497,0.3762086861513248,0.5308063916759569
linf8,snow_4,0.4065245869916312,0.6919814138962401,0.4104439417121071,0.35027137570601213,0.4882344357854231,0.4465994962216624,0.7177267002518891,0.4596977329974811,0.3795137940453428,0.5395763656633221
linf8,frost_0,0.6069281143448875,0.8499472597858921,0.6619404922898299,0.5517154151722439,0.6832449777186468,0.6439074307304786,0.8631926952141058,0.695528967254408,0.585441136301557,0.7275733927907841
linf8,frost_1,0.5282733161396544,0.7964226428784923,0.565700952720107,0.4627088914183364,0.6208301848786109,0.5679785894206548,0.8143891687657431,0.6067380352644837,0.49724119093143954,0.6673355629877369
linf8,frost_2,0.4685785771660253,0.743404623555958,0.4920650172849243,0.3972496617785224,0.5705652766102405,0.5105006297229219,0.7662153652392947,0.5398299748110831,0.43195848128926534,0.6197324414715719
linf8,frost_3,0.455881343918144,0.7322211495573548,0.47905882474299566,0.38259015962087084,0.5584792159562669,0.49702455919395466,0.7586586901763224,0.523772040302267,0.41688063370663747,0.608361204013378
linf8,frost_4,0.4154445840922942,0.6887867853863524,0.42975819422181194,0.33707544106996734,0.5212321537528324,0.4573677581863981,0.7159949622166247,0.4765428211586902,0.372630428844578,0.5740616871051654
linf8,fog_0,0.6212958300197049,0.8715986586137932,0.6829990497471397,0.5601075436155931,0.7053975133140246,0.6563129722921914,0.8803526448362721,0.7104848866498741,0.5927888555039607,0.7467484206614641
linf8,fog_1,0.6020923058006337,0.8601070325026903,0.6618057697329547,0.5380007148891343,0.6907783559795166,0.6386020151133501,0.8702770780856424,0.6908060453400504,0.5715651461349358,0.7333704942400594
linf8,fog_2,0.5834702918092336,0.8492278367716997,0.6401397139137566,0.517838597219334,0.6772774394429245,0.6226700251889169,0.860044080604534,0.6736460957178841,0.5526085768915598,0.7217019695280564
linf8,fog_3,0.578651579998046,0.8403592392142154,0.6299229647497812,0.5149373551323764,0.6696800652415329,0.6182147355163728,0.8548488664987406,0.6653022670025189,0.5499043977055449,0.7145670754366407
linf8,fog_4,0.5460704214038643,0.818587230142069,0.5875769632239881,0.48205838259064787,0.6377656094243558,0.5865239294710327,0.8326511335012594,0.6283060453400504,0.5155968314668123,0.6861389817911557
linf8,brightness_0,0.6816542863039153,0.9042413549320286,0.7587010530497011,0.6375616984103315,0.746563003329632,0.7147040302267003,0.9123110831234257,0.7803841309823678,0.6673040152963672,0.7836863619472315
linf8,brightness_1,0.6706778052136463,0.8937723575452367,0.7382308920293674,0.62612646109604,0.7344643516716286,0.7048960957178841,0.9064861460957179,0.7677896725440806,0.6566511881999453,0.7748049052396879
linf8,brightness_2,0.6556259642490259,0.8832851289628373,0.7264657002970334,0.6106839358823761,0.724406406750108,0.6916719143576826,0.8978274559193955,0.7556675062972292,0.6403714832013111,0.7656633221850613
linf8,brightness_3,0.6367161600361773,0.8726989003670758,0.7061748336663785,0.5902101479589993,0.708258513432554,0.6725598236775818,0.8868073047858942,0.7325251889168766,0.6190658290084676,0.7492010405053884
linf8,brightness_4,0.6128962901989973,0.8611916863763973,0.6743857361263843,0.5612174688148037,0.6874939277646319,0.6489767002518891,0.8709068010075567,0.7041876574307305,0.5927615405626879,0.7291341508732814
linf8,contrast_0,0.6215142096805384,0.872197383174834,0.6839894597208743,0.5602315853846372,0.7086067590202375,0.6581549118387908,0.8836586901763224,0.7141057934508817,0.5928434853865064,0.7510219249349684
linf8,contrast_1,0.5900323798796154,0.8509475101763291,0.6421102074178825,0.5218862986182706,0.686039975822451,0.6275976070528968,0.8617758186397985,0.676794710327456,0.5553400710188473,0.7296172426607208
linf8,contrast_2,0.5272190552989089,0.7986937738742172,0.5685086072124661,0.4468661687610459,0.638769079173364,0.5675692695214105,0.8195843828715366,0.6072103274559194,0.4821087134662661,0.6868078781122259
linf8,contrast_3,0.38449601185912013,0.66802090702383,0.38431576150868746,0.28602034869318077,0.5173426276126456,0.42879408060453394,0.6934823677581864,0.43844458438287154,0.32357279431849223,0.573652917131178
linf8,contrast_4,0.2097878441335022,0.4298941785713886,0.17908821362221902,0.12599773904693568,0.32257599717059865,0.2519521410579345,0.47418136020151136,0.23441435768261965,0.15755258126195032,0.38127090301003347
linf8,elastic_transform_0,0.6341220008663223,0.8829260095944841,0.7051949945122311,0.5624764457249035,0.733903344026137,0.6697890428211587,0.8973551637279596,0.7331549118387909,0.5958754438677957,0.7748792270531402
linf8,elastic_transform_1,0.6061630881033866,0.8622055259862677,0.6710353633960917,0.5222292400466498,0.7210374085578402,0.6419080604534004,0.8778337531486146,0.700566750629723,0.555831739961759,0.762913415087328
linf8,elastic_transform_2,0.5603835771072928,0.8398655887779679,0.6082972964799506,0.45732249591126856,0.6980339273565384,0.5980006297229219,0.8507556675062973,0.646095717884131,0.4949194209232449,0.7418060200668897
linf8,elastic_transform_3,0.522273357649841,0.808320619475947,0.5554567403539286,0.4077491885766877,0.678756166778895,0.5621221662468514,0.8243073047858942,0.5983942065491183,0.4451515979240644,0.7246376811594203
linf8,elastic_transform_4,0.46961066264542295,0.765569782081056,0.49038393804578767,0.3395534206543415,0.644561375102867,0.5098551637279598,0.7846347607052897,0.5324307304785895,0.37751980333242285,0.6926793013749536
linf8,pixelate_0,0.6446614542664301,0.8830018360078694,0.7075222355797387,0.5787535184909566,0.7407597169273951,0.6803054156171285,0.8942065491183879,0.7391372795969773,0.6102431029773285,0.779598662207358
